"localminute","dishwasher1","lights_plugs1","drye1","range1","use","furnace1","clotheswasher1","refrigerator1","microwave1","kitchenapp1","kitchenapp2","air1"
2014-06-04 00:10:00,400.4,7.2,0,0,2227.6,304.7,0,0,0,0,0,1175.2
2014-06-04 00:20:00,154.8,8,0,0,1187.6,196.6,0,10.3,0,0,0,471.4
2014-06-04 00:30:00,140.6,8.7,0,0,2062.4,302.9,0,105,0,0,0,1166.1
2014-06-04 00:40:00,2.3,8.9,0,0,1841.7,303.4,0,16.4,0,0,0,1164.2
2014-06-04 00:50:00,0,8.6,0,0,1824.8,303.8,0,0,0,0,0,1160.1
2014-06-04 01:00:00,1.3,7.1,0,0,1705.3,304.1,0,0,0,0,0,1032.4
2014-06-04 01:10:00,0,7,0,0,1462.6,206,0,66.2,162.6,0,0,620.8
2014-06-04 01:20:00,0,7,0,0,1959.5,304,0,74.6,0.4,0,0,1096.2
2014-06-04 01:30:00,0,7.4,0,0,1014.4,173.8,0,0,0,0,0,387.2
2014-06-04 01:40:00,0,7,0,0,1784.1,302.9,0,0,0,0,0,1126.5
2014-06-04 01:50:00,0,7,0,0,1053.8,212.1,0,11.5,0,0,0,517.3
2014-06-04 02:00:00,0,7.1,0,0.8,1753,239.3,0,103.8,336.7,0,0,828.8
2014-06-04 02:10:00,0,7,0,0,887.2,195.1,0,8.2,0,0,0,440.7
2014-06-04 02:20:00,0,7,0,0,1152.9,223.9,0,0,0,0,0,748.9
2014-06-04 02:30:00,0,7.1,0,0,1408.5,296.9,0,38.5,0,0,0,916.1
2014-06-04 02:40:00,0,7,0,0,764.8,146.6,0,83,0,0,0,377.5
2014-06-04 02:50:00,0,9.3,0,0,1442,301.4,0,0,0,0,0,983.1
2014-06-04 03:00:00,0,9.3,0,0,564.9,133.8,0,0,0,0,0,265.4
2014-06-04 03:10:00,0,9,0,0,1396.9,301.4,0,3.8,0,0,0,942.1
2014-06-04 03:20:00,0,8.9,0,0,607.5,118.7,0,105,0,0,0,226.7
2014-06-04 03:30:00,0,9,0,0,1358.1,297,0,12.6,0,0,0,898.4
2014-06-04 03:40:00,0,9.2,0,0,240.9,68.3,0,0,0,0,0,10.3
2014-06-04 03:50:00,0,8.9,0,0,1521.4,300.8,0,0,0,0,0,1070
2014-06-04 04:00:00,0,9.1,0,0,338.9,103,0,71.4,0,0,0,0
2014-06-04 04:10:00,0,9,0,0,894.5,177.7,0,47.6,0,0,0,507.9
2014-06-04 04:20:00,0,9.3,0,0,878.5,211.3,0,0,0,0,0,493.2
2014-06-04 04:30:00,0,9.7,0,0,303.1,75.9,0,0,0,0,0,45.4
2014-06-04 04:40:00,0,9.1,0,0,1250.4,274,0,29.9,0,0,0,775.5
2014-06-04 04:50:00,0,9,0,0,337.5,69,0,88.8,0,0,0,0
2014-06-04 05:00:00,0,9.3,0,0,856.5,177.7,0,0,0,0,0,502.6
2014-06-04 05:10:00,0,9.5,0,0,535.7,149.6,0,0,0,0,0,205.4
2014-06-04 05:20:00,0,9.1,0,0,249.3,67.1,0,0,0,0,0,0
2014-06-04 05:30:00,0,8.9,0,0,1314.7,245,0,86.5,0,0,0,812.8
2014-06-04 05:40:00,0,9.1,0,0,350.9,109.4,0,32.1,0,0,0,28.9
2014-06-04 05:50:00,0,9.3,0,0,343.7,83.4,0,0,0,0,0,78.8
2014-06-04 06:00:00,0,8.9,0,0,1285.9,287.3,0,0,0,0,0,827.9
2014-06-04 06:10:00,0,9.2,0,0,286.5,68,0,36.7,0,0,0,0
2014-06-04 06:20:00,0,9.1,0,0,382.2,75.7,0,82.1,0,0,0,43.1
2014-06-04 06:30:00,0,9,0,0,1200,272.5,0,0,0,0,0,753.8
2014-06-04 06:40:00,0,9.9,0,0,253.2,68,0,0,0,0,0,0
2014-06-04 06:50:00,0,9.6,0,0,470.9,106.8,0,0,0,0,0,180.6
2014-06-04 07:00:00,0,8.9,0,0,995.3,219.5,0,87.2,0,0,0,512
2014-06-04 07:10:00,0,9.6,0,0,350.8,69,0,31.9,0,0,0,0
2014-06-04 07:20:00,0,9.6,0,0,505,99.4,0,0,0,0,0,144.8
2014-06-04 07:30:00,0,9.1,0,0,981.3,218.9,0,0,0,0,0,507.8
2014-06-04 07:40:00,0,9.5,0,0,360.9,68,0,32,0,0,0,0
2014-06-04 07:50:00,0,9,0,0,484.6,68,0,88,0,0,0,0
2014-06-04 08:00:00,0,9.1,0,0,1208.1,250,0,0,0,0,0,648
2014-06-04 08:10:00,0,9.9,0,0,385.3,68,0,0,0,0,0,0
2014-06-04 08:20:00,0,9.8,0,0,385.6,68,0,0,0,0,0,0
2014-06-04 08:30:00,0,8.9,0,0,1317.4,255.2,0,79.4,0,0,0,669.7
2014-06-04 08:40:00,0,8.8,0,0,438.8,68,0,41.1,0,0,0,0
2014-06-04 08:50:00,0,7.1,0,0,400.4,68,0,0,0,0,0,0
2014-06-04 09:00:00,0,7.2,0,0,1216.2,246.5,0,0,0,0,0,645.9
2014-06-04 09:10:00,0,7.2,0,0,422.1,72.5,0,17.2,0,0,0,0
2014-06-04 09:20:00,0,7,0,0,447.1,69,0,103.4,0,0,0,0
2014-06-04 09:30:00,0,7.1,0,0,1116.4,224,0,0.9,0,0,0,645.6
2014-06-04 09:40:00,0,7.2,0,0,351.2,95.4,0,0,0,0,0,0
2014-06-04 09:50:00,0,7.4,0,0,325.4,69,0,0,0,0,0,0
2014-06-04 10:00:00,0,9.4,0,0,1093.6,200.3,0,56.7,0,0,0,583.9
2014-06-04 10:10:00,0,9.3,0,0,504.1,117.5,0,64.2,0,0,0,62.4
2014-06-04 10:20:00,0,10,0,0,329.9,68,0,0,0,0,0,0
2014-06-04 10:30:00,0,9.6,0,0,909.6,176.4,0,0,0,0,0,479.5
